activity_factor_pct,clk_edges,gated_clk_cg_edges,gated_clk_s1_edges,gated_clk_s2_edges,cge_single_stage_pct,cge_pipelined_s1_pct,cge_pipelined_s2_pct,mult_toggles_baseline,mult_toggles_isolated,operand_isolation_reduction_pct
0,3006,0,0,0,100.0,100.0,100.0,3001,1,99.97
10,3006,290,290,290,90.35,90.35,90.35,3001,553,81.57
20,3006,584,584,584,80.57,80.57,80.57,3001,1067,64.45
30,3006,903,903,903,69.96,69.96,69.96,3001,1550,48.35
40,3006,1220,1220,1219,59.41,59.41,59.45,3001,1938,35.42
50,3006,1503,1503,1502,50.0,50.0,50.03,3001,2244,25.22
60,3006,1802,1802,1801,40.05,40.05,40.09,3001,2504,16.56
70,3006,2131,2131,2130,29.11,29.11,29.14,3001,2742,8.63
80,3006,2428,2428,2427,19.23,19.23,19.26,3001,2883,3.93
90,3006,2706,2706,2705,9.98,9.98,10.01,3001,2969,1.07
100,3006,3004,3004,3003,0.07,0.07,0.1,3001,3001,0.0
